tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0160550,Moscow,Moskva,2000.0,2000.0,139,Drama,Drama,6.3,480,Average (6.0-6.9),Niche (<1K),True,nm0954483,"nm0815131,nm0954483"
tt0160611,Ordinary Decent Criminal,Ordinary Decent Criminal,2000.0,2000.0,93,Comedy,"Comedy,Crime",6.3,14771,Average (6.0-6.9),Popular (10K-50K),True,nm0642823,nm0826437
tt0160616,Other Voices,Other Voices,2000.0,2000.0,104,Drama,"Drama,Romance,Thriller",5.7,315,Below Average (5.0-5.9),Niche (<1K),True,nm0566427,nm0566427
tt0160644,Passion of Mind,Passion of Mind,2000.0,2000.0,105,Drama,"Drama,Fantasy,Mystery",5.5,3792,Below Average (5.0-5.9),Known (1K-10K),True,nm0075626,"nm0060103,nm0275914"
tt0160652,The Perfect Tenant,The Perfect Tenant,2000.0,2000.0,93,Thriller,Thriller,4.8,432,Poor (<5.0),Niche (<1K),True,nm0132414,"nm0144431,nm0003905,nm0094673,nm0132414"
tt0160663,Blast,Blast,2000.0,2000.0,88,Crime,"Crime,Drama,Thriller",5.6,289,Below Average (5.0-5.9),Niche (<1K),True,nm0770896,nm0770896
tt0160706,The Prodigy,The Prodigy,2005.0,2000.0,120,Crime,"Crime,Drama,Thriller",5.3,943,Below Average (5.0-5.9),Niche (<1K),True,nm0442287,"nm0091773,nm0442287,nm0065745"
tt0160710,Punks,Punks,2000.0,2000.0,91,Comedy,"Comedy,Music,Romance",7.1,321,Good (7.0-7.9),Niche (<1K),True,nm0689319,nm0689319
tt0160749,Red Dirt,Red Dirt,2000.0,2000.0,110,Drama,"Drama,Romance",6.1,1061,Average (6.0-6.9),Known (1K-10K),True,nm0701039,nm0701039
tt0160759,Breathing Under Water,Respirar (Debaixo D'água),2000.0,2000.0,45,Drama,"Drama,Thriller",6.7,188,Average (6.0-6.9),Niche (<1K),True,nm0274278,nm0274278
tt0160797,Rules of Engagement,Rules of Engagement,2000.0,2000.0,128,Drama,"Drama,Thriller,War",6.4,52563,Average (6.0-6.9),Major (50K-100K),True,nm0001243,"nm0916136,nm0300866"
tt0160859,Shades of Darkness,Shades of Darkness,2000.0,2000.0,88,Thriller,Thriller,2.9,123,Poor (<5.0),Niche (<1K),True,nm0424787,nm0424787
tt0160905,Spooky House,Spooky House,2001.0,2000.0,106,Comedy,"Comedy,Family",5.2,720,Below Average (5.0-5.9),Niche (<1K),True,nm0755197,"nm0755172,nm0755197"
tt0161003,Train Ride,Train Ride,2000.0,2000.0,93,Drama,Drama,5.7,288,Below Average (5.0-5.9),Niche (<1K),True,nm0235702,nm0235702
tt0161081,What Lies Beneath,What Lies Beneath,2000.0,2000.0,130,Drama,"Drama,Horror,Mystery",6.6,144919,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000709,"nm0163988,nm0449576"
tt0161083,What's the Worst That Could Happen?,What's the Worst That Could Happen?,2001.0,2000.0,94,Comedy,"Comedy,Crime",5.5,18050,Below Average (5.0-5.9),Popular (10K-50K),True,nm0918873,"nm0922799,nm0152466"
tt0161088,White Boy,White Boy,2002.0,2000.0,90,Drama,Drama,3.2,342,Poor (<5.0),Niche (<1K),True,nm0547790,nm0547790
tt0161216,Steal This Movie,Steal This Movie,2000.0,2000.0,107,Biography,"Biography,Drama,Romance",6.3,2463,Average (6.0-6.9),Known (1K-10K),True,nm0339254,"nm0388813,nm0388797,nm0422518,nm0333949"
tt0161539,Max,Max,2000.0,2000.0,85,Crime,Crime,4.1,198,Poor (<5.0),Niche (<1K),True,nm0159925,"nm0159925,nm0711294"
